Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
93.59247899055481,614.33,14.49,24.07,35.99,16.73,4.29
94.0476508140564,466.42,9.77,30.61,36.01,14.15,4.82
94.61447787284851,94.87,4.71,25.58,46.54,13.82,5.67
95.05493998527527,-49.93,3.44,24.39,41.44,17.34,7.95
95.6059262752533,350.47,4.35,14.22,34.88,29.25,11.73
96.0446527004242,-137.51,2.85,28.64,29.98,18.04,14.36
96.59572792053223,-250.82,4.27,25.38,25.75,16.83,15.19
97.0364990234375,-116.03,2.02,20.82,36.13,17.57,13.89
97.60274600982666,307.38,3.63,23.8,28.81,23.71,11.19
98.04328107833862,-28.66,1.03,24.35,25.39,33.53,9.89
98.59468531608582,475.98,56.91,37.91,2.99,1.15,0.63
99.03397822380066,2418.45,53.27,38.44,4.26,2.18,1.04
99.58626365661621,-9605.04,67.31,26.23,5.43,0.44,0.38
100.02853465080261,5484.71,65.69,27.46,4.83,1.02,0.56
100.57731938362122,171.42,63.86,27.1,5.36,1.93,1.05
101.01810717582703,307.6,61.09,26.44,5.61,4.05,1.59
101.56854248046875,56.5,53.66,24.96,9.16,6.13,4.03
102.11873507499695,-9615.5,36.03,49.39,12.82,1.0,0.59
102.5587682723999,822.63,33.74,46.53,12.88,4.2,2.18
103.10910105705261,110.24,29.12,45.02,12.94,7.79,3.89
103.5501298904419,-110.07,8.95,13.1,13.55,39.81,20.65
104.10131216049194,5573.07,11.15,25.79,13.52,24.3,17.74
104.5426378250122,351.0,7.08,19.12,11.28,24.19,25.65
105.09253931045532,-20341.78,70.01,13.29,3.27,4.63,5.69
105.5327889919281,2205.94,65.16,12.56,3.58,6.61,7.49
106.08378458023071,-1823.48,38.5,20.97,7.58,12.89,10.47
106.52409982681274,1496.14,19.5,30.48,19.91,12.48,10.83
107.07701277732849,-2070.16,30.47,34.66,16.84,6.83,8.33
107.51695203781128,8588.31,39.04,31.2,11.84,7.97,7.0
108.06980967521667,2720.87,27.99,42.77,20.76,3.65,3.39
108.52486896514893,-9.67,25.87,40.27,21.1,6.29,4.44
109.07549834251404,468.81,23.08,37.03,19.82,8.75,7.9
109.51562261581421,369.19,17.33,28.87,20.96,14.61,10.63
110.06559228897095,11.53,12.83,21.16,19.13,17.33,19.13
110.61856937408447,-93.25,6.25,12.57,15.56,16.76,35.57
111.05998659133911,389.89,3.12,9.04,14.85,26.49,29.65
111.60967564582825,-850.45,3.78,6.68,20.75,32.12,23.58
112.04998183250427,181.94,2.61,6.29,27.86,34.29,16.78
112.58460426330566,-69.16,2.27,7.81,23.81,34.08,16.86
113.0239052772522,-55.96,0.86,4.8,31.25,34.75,14.93
113.57738924026489,309.69,3.09,3.91,29.85,32.46,15.9
114.0182158946991,-5.37,2.14,3.82,22.15,37.16,18.63
114.55372357368469,273.46,2.26,7.13,19.25,29.6,20.84
115.10592269897461,-58.33,7.9,7.82,15.59,29.43,17.24
115.54749703407288,92.84,2.66,10.55,22.44,39.69,20.18
116.12956404685974,1143.17,3.28,7.89,29.73,36.14,17.84
116.56961464881897,127.14,2.28,5.4,31.87,30.81,22.88
117.11976671218872,499.65,3.11,7.94,24.34,38.92,17.5
117.57664942741394,11422.23,27.3,61.19,5.66,3.14,2.1
118.02057313919067,4014.31,30.48,55.33,5.62,4.26,2.8
118.6077516078949,-288.04,28.34,51.76,6.47,6.01,4.61
119.04708957672119,174.95,23.18,42.79,8.48,14.72,5.67
119.59969782829285,-265.01,16.98,35.92,11.99,20.41,6.77
120.07037901878357,290.3,12.39,25.47,11.35,21.67,16.37
120.62233257293701,100.41,6.06,27.57,14.09,21.46,16.08
121.06272149085999,470.37,6.29,16.87,18.7,23.45,20.01
121.61503577232361,102.2,2.89,11.4,16.02,36.84,14.41
122.0401439666748,-447.63,8.1,6.63,10.08,35.99,18.66
122.59196662902832,-1077.84,15.22,24.01,26.26,22.89,5.07
123.03240895271301,2463.01,24.41,25.19,17.97,19.51,5.72
123.59938073158264,277.31,22.03,22.76,17.44,21.18,7.38
124.04097270965576,-655.53,18.54,22.74,13.94,25.07,10.01
124.5906629562378,830.86,17.59,22.08,11.12,19.75,16.47
125.03108334541321,-312.83,14.09,14.86,9.43,26.17,19.13
125.58285403251648,748.44,13.71,12.92,12.3,26.74,18.69
126.0087559223175,442.99,11.37,9.92,10.18,28.84,22.5
126.56011319160461,83.69,6.2,12.76,11.78,27.29,23.24
127.11100244522095,697.43,7.68,13.84,13.42,33.17,18.86
127.5533697605133,22.21,4.46,20.2,14.01,27.77,16.53
128.0109932422638,369.03,4.33,10.18,19.15,33.76,15.36
128.56169438362122,171.87,4.7,12.08,21.23,28.43,15.28
129.1126344203949,341.05,4.18,13.2,24.16,23.58,15.01
129.55257487297058,589.9,8.08,8.37,26.01,31.47,10.98
130.08785843849182,-72.79,4.61,12.61,38.07,23.33,8.31
130.52922987937927,-41.28,2.38,15.45,28.67,19.73,17.58
131.0806393623352,-253.12,2.12,13.48,23.16,22.2,21.42
131.521329164505,432.03,7.37,9.15,23.31,22.7,15.84
132.07209587097168,54.14,4.53,15.41,16.37,24.78,16.34
132.6224410533905,275.02,3.3,6.72,24.15,33.01,13.59
133.06176090240479,-198.51,2.89,7.26,23.15,28.62,17.88
133.61794257164001,-500.19,5.35,24.27,29.57,16.64,11.82
134.06754112243652,914.15,14.66,14.12,25.79,16.84,17.46
134.6193244457245,-216.74,6.61,12.11,20.08,32.22,15.34
135.05896377563477,538.17,8.33,8.84,14.44,42.95,13.74
135.60917568206787,-7836.09,48.2,35.27,9.6,3.28,2.64
136.04888916015625,3434.37,47.62,29.4,11.82,5.5,3.79
136.6015236377716,-4447.26,66.64,22.32,6.45,1.85,1.88
137.04134559631348,3973.39,64.7,25.14,5.47,2.13,1.65
137.59162616729736,-250.25,55.9,24.68,9.6,4.06,4.15
138.03162479400635,1758.06,31.2,51.92,11.77,2.79,1.5
138.583740234375,1276.99,26.98,42.17,10.49,13.09,5.7
139.0272126197815,9706.7,57.41,32.53,6.64,2.31,0.83
139.5778980255127,2138.94,53.73,33.6,6.78,4.01,1.1
140.0200879573822,-674.3,49.18,33.59,7.41,6.01,2.4
140.57128524780273,-2290.46,29.39,18.38,30.47,14.21,3.45
141.12597155570984,3517.48,41.76,31.7,13.22,7.22,2.89
141.5628354549408,2837.83,41.3,31.66,13.33,7.74,2.82
142.11551427841187,339.73,35.51,30.99,14.72,9.99,4.69
142.54196739196777,10882.87,28.05,56.32,7.94,5.88,1.04
143.09213709831238,5414.45,31.67,45.12,11.34,7.05,2.57
143.53377890586853,-226.9,29.01,43.94,12.07,8.51,3.45
144.08718705177307,1307.75,26.78,36.5,11.81,13.08,5.21
144.52838969230652,-7753.28,28.09,46.62,21.57,2.08,0.64
